corpus,file,sent_idx,sentence
Folk Fairy Tales,Bechstein_Aschenbrödel_510.txt,4,"da hatte die eine schöne Kleider, die andere Perlen und Edelgesteine gewünscht Aschenbrödel aber nur ein grünes Haselreis."
Folk Fairy Tales,Bechstein_Das Natterkrönlein_672.txt,41,"Er mußte erst sein Vieh verkaufen, dann seine Äcker, und alles kaufte der reiche Schulzensohn, und seine Frau führte die lieben Kühe, die nun ihre eigenen waren, mit grünen Kränzen geschmückt, in ihren Stall und streichelte sie und ließ sich wieder die Hände von ihnen lecken und molk und fütterte sie mit eigener Hand."
Folk Fairy Tales,Bechstein_Das Nußzweiglein_425.txt,2,"""

Die Älteste sprach: ""Lieber Vater, mir eine schöne Perlenhalskette!""

Die andere sprach: ""Ich wünschte mir einen Fingerring mit einem Demantstein""

Die Jüngste schmiegte sich an des Vaters Herz und flüsterte: ""Mir ein schönes, grünes Nußzweiglein, Väterchen.""

""Gut, meine lieben Töchter!"" sprach der Kaufmann, ""ich will mir's aufmerken und dann lebet wohl."
Folk Fairy Tales,Bechstein_Das Nußzweiglein_425.txt,5,"Einen grünen Nußzweig aber konnte er nirgends gewahren, wie er sich auch darum bemühte."
Folk Fairy Tales,Bechstein_Das Nußzweiglein_425.txt,8,"Endlich, als er so betrübt seines Weges dahinzog, der ihn just durch einen dunklen Wald und an dichtem Gebüsch vorüberführte, stieß er mit seinem Hut an einen Zweig, und es raschelte, als fielen Schlossen darauf; wie er aufsah, war's ein schöner, grüner Nußzweig, daran eine Traube goldner Nüsse hing."
Folk Fairy Tales,Bechstein_Der Hasenhüter und die Königstochte_570.txt,1,"als diese sich verheiraten wollte, mußten sich alle Freier auf einer großen grünen Wiese versammeln, da warf sie nun einen goldenen Apfel mehrmals in die Luft, und wer ihn auffing und sich unterstand, drei Bund oder drei Aufgaben, die sie selbst aufgab, zu lösen, der sollte sie dann zur Gemahlin haben."
Folk Fairy Tales,Bechstein_Der Hasenhüter und die Königstochte_570.txt,19,Der Bursche aber ging hinaus aufs Feld und setzte sich auf einen grünen Hügel und dachte: Was fang ich an?
Folk Fairy Tales,Bechstein_Der Hasenhüter und die Königstochte_570.txt,21,"er tat es schnell heraus und pfiff, da kamen die hundert Hasen alle wieder gesprungen und weideten lustig um ihn herum an dem grünen Hügel."
Folk Fairy Tales,Bechstein_Der Schmied von Jüterbogk_330.txt,34,"Dann tritt der Kaiser hervor mit all seinen Wappnern, schlägt die große Schlacht der Befreiung und hängt seinen Schild an den wieder grünen Baum."
Folk Fairy Tales,Bechstein_Der Wacholderbaum_720.txt,6,"Da ging sie wieder ins Haus, und als ein Monat vorbei war, da war der Schnee vergangen, und zwei Monate, da war es grün, und drei Monate, da kamen die Blumen aus der Erde, und vier Monate, da drängten sich alle Bäume in dem Holze und die grünen Zweige waren alle ineinander gewachsen."
Folk Fairy Tales,Bechstein_Schab den Rüssel_361.txt,7,"""

Während der Bettler so murrte, ging ein kleines hinkendes Männlein in einem grünen Samtröcklein an ihm vorüber, das trug einen schwarzen spanischen Hut und darauf eine rote Feder und schaute sich halb um nach dem Bettler, wobei ein scharfblitzendes Auge und eine sehr stattliche, stark gebogene Adlernase sichtbar wurden."
Folk Fairy Tales,Bechstein_Zitterinchen_403.txt,53,"Nun erzählte Christinchen, wie die alte Amme sie arglistig ins Wasser gestürzt, die Nixen aber hatten sie mit ihren grünen Schleiern aufgefangen und sie in ihren unterirdischen Palast geführt."
Folk Fairy Tales,Grimm_Aschenputtel_510A.txt,18,"Er kaufte nun für die beiden Stiefschwestern schöne Kleider, Perlen und Edelsteine, und auf dem Rückwege, als er durch einen grünen Busch ritt, streifte ihn ein Haselreis und stieß ihm den Hut ab."
Folk Fairy Tales,Grimm_Der Bärenhäuter_361.txt,9,"Auf einmal hörte er ein Brausen und wie er sich umblickte, stand ein unbekannter Mann vor ihm, der einen grünen Rock trug, recht stattlich aussah, aber einen garstigen Pferdefuß hatte."
Folk Fairy Tales,Grimm_Der Bärenhäuter_361.txt,21,"Der Teufel zog den grünen Rock aus, reichte ihn dem Soldaten hin und sagte: ""Wenn du den Rock an deinem Leibe hast und in die Tasche greifst, so wirst du die Hand immer voll Geld haben."""
Folk Fairy Tales,Grimm_Der Bärenhäuter_361.txt,86,"Am Abend klopfte jemand an der Thür, und als der Bräutigam öffnete, so war's der Teufel im grünen Rock, der sprach: ""Siehst du, nun habe ich zwei Seelen für deine eine."""
Folk Fairy Tales,Grimm_Der Eisenofen_425A.txt,52,"Alsbald rief die Dicke:

""Jungfer grün und klein,
Hutzelbein,
Hutzelbeins Hündchen,
hutzel hin und her,
laß geschwind sehen wer draußen wär."
Folk Fairy Tales,Grimm_Der Eisenofen_425A.txt,59,"Da sprach die alte Dicke:

""Jungfer grün und klein,
Hutzelbein,
Hutzelbeins Hündchen,
hutzel hin und her,
bring mir die große Schachtel her."
Folk Fairy Tales,Grimm_Der Geist im Glas_331.txt,21,"""

Der Sohn aber ging in den Wald, aß sein Brot, war ganz fröhlich und sah in die grünen Zweige hinein, ob er etwa ein Nest entdeckte."
Folk Fairy Tales,Grimm_Der gelernte Jäger_304.txt,4,"Da begegnete ihm auf der Wanderschaft ein Jäger in grünem Kleide, der fragte, wo er her käme und wo er hin wollte."
Folk Fairy Tales,Grimm_Der starke Hans_650A.txt,30,"Sie verließen die Höhle, aber was that Hans die Augen auf, als er aus der Finsternis heraus in das Tageslicht kam, und den grünen Wald Blumen und Vögel und die Morgensonne am Himmel erblickte."
Folk Fairy Tales,Grimm_Die Nixe im Teiche_316.txt,51,"Der Himmel war blau, die Luft mild, der Boden senkte sich sanft hinab und auf einer grünen, bunt beblümten Wiese stand eine reinliche Hütte."
Folk Fairy Tales,Grimm_Die drei Federn_545A.txt,9,"Da kam er vor eine andere Thür, klopfte an, und hörte, wie es inwendig rief:

""Jungfer grün und klein,
Hutzelbein,
Hutzelbeins Hündchen,
Hutzel hin und her,
laß geschwind sehen, wer draußen wär."
Folk Fairy Tales,Grimm_Die drei Federn_545A.txt,13,"Da rief sie eine junge und sprach:

""Jungfer grün und klein,
Hutzelbein,
Hutzelbeins Hündchen,
Hutzel hin und her,
bring' mir die große Schachtel her."
Folk Fairy Tales,Grimm_Die drei Männlein im Walde_403.txt,24,"Da war nichts als Schnee die Weite und Breite, und war kein grünes Hälmchen zu merken."
Folk Fairy Tales,Grimm_Die drei Schlangenblätter_303.txt,25,"Über ein Weilchen kroch eine zweite Schlange aus der Ecke hervor, als sie aber die andere tot und zerstückt liegen sah, ging sie zurück, kam bald wieder und hatte drei grüne Blätter im Munde."
Folk Fairy Tales,Grimm_Die vier kunstreichen Brüder_653.txt,42,"""Ja,"" sprach der Alte zu seinen Söhnen, ""ich muß euch über den grünen Klee loben, ihr habt eure Zeit wohl benutzt und was rechtschaffenes gelernt:"
Folk Fairy Tales,Grimm_Die wahre Braut_510.txt,55,"grüne Papageien saßen in goldenen Käfigen, und fremde Vögel, die lieblich sangen;"
Folk Fairy Tales,Grimm_Die wahre Braut_510.txt,81,In dem Schloßgarten stand eine grüne Linde;
Folk Fairy Tales,Grimm_Die wahre Braut_510.txt,95,"Sie hatte ein Kälbchen, das gewöhnte sie an sich, fütterte es aus der Hand, und wenn sie sprach:

""Kalbchen, Kälbchen, knie nieder,
vergiß nicht deine Hirtin wieder,
wie der Königssohn die Braut vergaß,
die unter der grünen Linde saß,""

so kniete das Kälbchen nieder und ward von ihr gestreichelt."
Folk Fairy Tales,Grimm_Die wahre Braut_510.txt,103,"Als er in ihrer Nähe war, sprach sie zum Kälbchen:

""Kälbchen, Kälbchen, knie nieder,
vergiß nicht deine Hirtin wieder,
wie der Königssohn die Braut vergaß,
die unter der grünen Linde saß."
Folk Fairy Tales,Grimm_Rapunzel_310.txt,4,"Da erblickte sie ein Beet, das mit den schönsten Rapunzeln bepflanzt war, und sie sahen so frisch und grün aus, daß sie lüstern ward und das größte Verlangen empfand, von den Rapunzeln zu essen."
Folk Fairy Tales,Grimm_Schneeweißchen und Rosenrot_426.txt,37,"Als das Frühjahr herangekommen und draußen alles grün war, sagte der Bär eines Morgens zu Schneeweißchen:"
Folk Fairy Tales,Grimm_Schneewittchen_709.txt,15,"""

Da erschrak die Königin und ward gelb und grün vor Neid."
Folk Fairy Tales,"Grimm_Spindel, Weberschiffchen und Nadel_585.txt",34,"Auf beiden Seiten blühten Rosen und Lilien und in der Mitte auf goldenem Grund stiegen grüne Ranken herauf, darin sprangen Hasen und Kaninchen:"
Folk Fairy Tales,"Grimm_Spindel, Weberschiffchen und Nadel_585.txt",41,"Es war nicht anders als wenn unsichtbare Geister arbeiteten, alsbald überzogen sich Tisch und Bänke mit grünem Tuch, die Stühle mit Sammet, und an den Fenstern hiengen seidene Vorhänge herab."
Folk Fairy Tales,"Grimm_Tischchen deck' dich, Goldesel, und Knüppel aus dem Sack_563.txt",35,Er nahm sie am Strick und brachte sie zu grünen Hecken und unter Schafrippe und was sonst die Ziegen gern fressen.
Folk Fairy Tales,Grimm_Von dem Fischer und seiner Frau_555.txt,21,"Als er da nun hinkam, war die See ganz grün und gelb und gar nicht mehr so klar."
Folk Fairy Tales,Grimm_Von dem Fischer und seiner Frau_555.txt,44,"Als er an die See kam, war das Wasser ganz violett und dunkelblau und grau und dick und gar nicht mehr so grün und gelb, doch war es noch still."
GPT-4o,ChatGPT-4o_10.txt,84,"Die Dorfbewohner sahen, daß das Wasser wiederkam, daß die Felder grüner wurden, und sie begannen, wieder mit ihr zu sprechen."
GPT-4o,ChatGPT-4o_100.txt,71,"Da wich das Feuer, und der Baum wurde wieder grün."
GPT-4o,ChatGPT-4o_11.txt,11,"Im Bündel lag ein Kind, ein Mädchen mit dunklen Locken und Augen so grün wie der Farn im Morgentau."
GPT-4o,ChatGPT-4o_14.txt,32,"Er trug ein Gewand aus Federn und hatte ein Auge grün, das andere golden."
GPT-4o,ChatGPT-4o_15.txt,21,"Ihr Haar war mit Blättern durchflochten, ihre Augen grün wie Moos, und aus ihrer Stimme sprach der Wind selbst."
GPT-4o,ChatGPT-4o_16.txt,15,"Und wie es prophezeit hatte, gebar die Müllerin genau ein Jahr später ein Mädchen mit goldenen Locken und Augen, die grün waren wie das Moos im Schatten der Bäume."
GPT-4o,ChatGPT-4o_17.txt,21,"Marlen wuchs rasch heran, war klug und fromm, und wo sie ging, schien das Gras grüner zu werden."
GPT-4o,ChatGPT-4o_17.txt,26,"Dort stand eine junge Frau in einem grünen Gewand, ihr Haar war schwarz wie Ebenholz, und ihr Blick hatte etwas Unirdisches."
GPT-4o,ChatGPT-4o_19.txt,4,"Er war schwarz wie Pech, aber aus seinem Inneren funkelte ein grünes Licht, das pulsierte wie ein lebendiges Herz."
GPT-4o,ChatGPT-4o_2.txt,32,Einst war dies Land grün und voller Leben.
GPT-4o,ChatGPT-4o_20.txt,65,"Vögel sangen, und grüne Knospen wuchsen an den Zweigen, obwohl noch Winter sein sollte."
GPT-4o,ChatGPT-4o_23.txt,7,Zwischen den Bäumen stand ein kleines Weib mit grünem Kleid und einem Gürtel aus Efeu.
GPT-4o,ChatGPT-4o_23.txt,22,"Sie öffnete, und da stand das grüne Weib, wie vor sechzehn Jahren, unverändert, mit Efeu um die Hüften."
GPT-4o,ChatGPT-4o_23.txt,30,"""Ich habe keine Furcht, denn ich weiß, dass mein Herz rein ist.""
Das grüne Weib nahm sie bei der Hand, und in dem Moment schien es, als ob ein kalter Wind durch das Haus fuhr und das Licht der Kerze flackerte."
GPT-4o,ChatGPT-4o_23.txt,36,"Das grüne Weib führte sie hinein, durch dunkle Hallen und über Treppen aus Obsidian, bis in ein kleines Zimmer, wo ein goldener Webstuhl stand."
GPT-4o,ChatGPT-4o_23.txt,42,Jede Nacht kam das grüne Weib und sah sich das Tuch an.
GPT-4o,ChatGPT-4o_23.txt,53,"Doch kaum hatten sich ihre Blicke berührt, erschien das grüne Weib, finster wie die Nacht."
GPT-4o,ChatGPT-4o_23.txt,76,"Das grüne Weib trat heran, sah ihn lange an und sprach: ""Du hast mit Herz gesehen, nicht mit Augen."
GPT-4o,ChatGPT-4o_23.txt,78,"""
Und in dem Moment zerfiel das Schloss aus schwarzem Glas, der dunkle Wald wurde hell, als ob ein Bann gelöst sei, und das grüne Weib wurde zu einem Baum, dessen Zweige sich wie Arme zum Himmel reckten."
GPT-4o,ChatGPT-4o_24.txt,34,"Er trug ein Gewand aus Moos und Farnen, und seine Augen waren so grün wie der tiefste Wald."
GPT-4o,ChatGPT-4o_24.txt,64,"Der alte Mann verwandelte sich vor ihren Augen in einen Schwarm grüner Blätter, der davongetragen wurde vom Wind."
GPT-4o,ChatGPT-4o_29.txt,56,"Sein Mantel war noch grüner als zuvor, und seine Augen leuchteten wie Sterne."
GPT-4o,ChatGPT-4o_34.txt,68,"Als das Licht schwand, war das Schloss verschwunden, und Lene stand auf einem grünen Hügel, über den die ersten Blumen des Frühlings blühten."
GPT-4o,ChatGPT-4o_38.txt,15,"Draußen rauschte der Bach so kräftig, wie er es seit Jahren nicht getan hatte, und als Lene später in den Garten trat, fand sie zwischen den Kohlblättern leuchtende Beeren und grüne Bohnen, obwohl es schon Ende Oktober war."
GPT-4o,ChatGPT-4o_40.txt,0,"Es war einmal ein armer Töpfer, der tief unten in einem grünen Tal wohnte, wo die Berge so hoch ragten, dass man manchmal glaubte, sie würden den Himmel stützen."
GPT-4o,ChatGPT-4o_42.txt,7,"Es war kaum so groß wie ein Hase, trug einen grünen Hut mit einer Eichel daran und hatte ein Gesicht so runzlig wie ein alter Apfel."
GPT-4o,ChatGPT-4o_50.txt,1,"Sie waren arm, aber zufrieden, und hatten nur ein einziges Kind, ein Mädchen mit Haaren so schwarz wie Ebenholz und Augen, so grün wie Moos."
GPT-4o,ChatGPT-4o_52.txt,72,"Doch manchmal, wenn der Kuckuck ruft und der Wind durch die Bäume fährt, sagen die Alten, man könne sie tanzen sehen, mit Rehen an ihrer Seite und einem Jungen mit grünen Augen an ihrer Hand."
GPT-4o,ChatGPT-4o_53.txt,17,"Vor ihr stand ein junger Mann in einem grünen Mantel, mit Haaren wie Goldfäden und einem Gesicht, das so schön war, dass selbst der Waldboden unter ihm zu blühen schien."
GPT-4o,ChatGPT-4o_53.txt,39,"Sie sprach kein Wort vom grünen Prinzen noch von der Königin, denn sie erinnerte sich an ihr Versprechen."
GPT-4o,ChatGPT-4o_53.txt,74,"Da erschien der junge Mann im grünen Mantel, plötzlich und leise wie Nebel."
GPT-4o,ChatGPT-4o_53.txt,80,"""
Da lächelte der grüne Prinz, und die Schale erschien wieder in ihrer Hand, gefüllt mit Licht und Wärme."
GPT-4o,ChatGPT-4o_6.txt,29,"Vögel sangen seltsame Lieder, und das Licht wurde grün und weich."
GPT-4o,ChatGPT-4o_60.txt,3,"Eines Tages, als der Müller mit seinem Esel zum Markt fuhr, begegnete ihm auf dem Weg ein fremder Mann mit einem grünen Mantel und einem Hut, an dem ein Rabenfeder steckte."
GPT-4o,ChatGPT-4o_63.txt,5,"Es war kaum drei Spannen hoch, trug einen grünen Mantel und hatte einen roten Hut mit einer weißen Feder darauf."
GPT-4o,ChatGPT-4o_66.txt,70,"Die Mühle erblühte, das Rad drehte sich wieder, das Gras wuchs grün."
GPT-4o,ChatGPT-4o_70.txt,9,"Doch Lene wusste, dass es mehr war, und einmal, da sie spät in der Dämmerung am Mühlbach saß, kam eine Gestalt aus dem Wasser, nicht größer als ein Kind, ganz grün und schleimig und mit Augen, die leuchteten wie Irrlichter."
GPT-4o,ChatGPT-4o_70.txt,46,"""Ich bin gekommen, um meinen Eltern das Leben zu retten.""
Der Wasserwicht tauchte auf, sein grüner Leib glitschig und schimmernd."
GPT-4o,ChatGPT-4o_74.txt,82,"Doch im Boden wuchs ein junger Lindenbaum, grün und frisch."
GPT-4o,ChatGPT-4o_85.txt,2,"Sie hatten ein einziges Kind, ein Mädchen mit goldblondem Haar und Augen so grün wie der Wald im Sommer."
GPT-4o,ChatGPT-4o_85.txt,27,"Vor Elsbeth stand nun ein Mann in einem grünen Mantel, mit einer Krone aus Moos auf dem Haupt."
GPT-4o,ChatGPT-4o_85.txt,72,"""
In diesem Moment brach das Gitter, und ein grüner Wind fegte durch das Gemach."
GPT-4o,ChatGPT-4o_86.txt,69,"Da kam eines Tages ein Jäger ins Dorf, mit grünem Wams und klaren Augen."
GPT-4o,ChatGPT-4o_88.txt,20,"Doch kaum hatte sie hineingesehen, da wurde ihr schwindlig, und die Welt drehte sich um sie – als sie wieder zu sich kam, stand sie in einer großen Halle, deren Wände aus grünem Glas und deren Boden aus purem Gold war."
GPT-4o,ChatGPT-4o_88.txt,21,"Vor ihr stand ein Mann, groß und hager, in einen Mantel aus dunklem Moos gekleidet, und seine Augen waren grün wie Tannen im Regen."
GPT-4o,ChatGPT-4o_89.txt,40,"Endlich kamen sie in das Reich des Königs der Tiefe, wo das Licht grün und blau war wie in einem Traum."
GPT-5,ChatGPT-5_10.txt,8,"Als Linde sich darüber wunderte, kam ein alter Mann mit langem grauen Bart aus den Büschen hervor, sein Gewand war grün wie Moos, und er trug einen Stab aus Haselholz."
GPT-5,ChatGPT-5_13.txt,84,"""
So wandelte sich das Reich, und die Felder trugen wieder Früchte, die Wälder standen grün, und das Volk lobte den König, wie es ihn nie zuvor gelobt hatte."
GPT-5,ChatGPT-5_18.txt,96,"Sonnkind legte die Hände auf den Stamm, und sogleich sprossen grüne Knospen hervor, und der Baum trug goldene Äpfel."
GPT-5,ChatGPT-5_19.txt,27,"Wo er ging, blühte das Gras grüner, und wenn er lachte, sangen die Vögel lauter."
GPT-5,ChatGPT-5_2.txt,0,"Es war einmal in einem kleinen Dorf, das zwischen dichten Wäldern und grünen Hügeln lag, ein armer Hirtenknabe, der hieß Jakob."
GPT-5,ChatGPT-5_32.txt,0,"Es waren einmal ein König und eine Königin, die wohnten in einem großen Schlosse, das auf einem grünen Hügel stand, von dunklen Wäldern umgeben und von einem breiten, klaren Flusse durchzogen."
GPT-5,ChatGPT-5_39.txt,47,"Dort stand eine Frau, ganz in grüne Blätter gehüllt, ihr Haar floß wie Moos, und ihre Augen leuchteten wie zwei klare Quellen."
GPT-5,ChatGPT-5_42.txt,23,"Er war von grünem Moos umwachsen, und ein hölzerner Eimer hing an der Kette."
GPT-5,ChatGPT-5_43.txt,37,Die Rinde war silbern und die Blätter funkelten wie grüne Edelsteine.
GPT-5,ChatGPT-5_54.txt,13,"Doch kaum hatte er den Kopf gehoben, stand vor ihm ein kleines Männlein mit grünem Rock und roter Kappe."
GPT-5,ChatGPT-5_54.txt,105,"Da standen Vater und Tochter auf grünem Feld, und die Sonne schien hell über ihnen."
GPT-5,ChatGPT-5_57.txt,61,"Plötzlich erhob sich ein Wassermann aus den Fluten, sein Haar tropfte grün wie Schilf, und seine Augen glänzten wie blanke Steine."
GPT-5,ChatGPT-5_6.txt,26,"Er sah eine Kiste voll Gold, eine Schale mit Edelsteinen, und in einer Ecke stand ein einfacher Krug, aus Ton geformt, aber mit einem grünen Schimmer, als sei frisches Laub darin."
GPT-5,ChatGPT-5_60.txt,8,"Ihr Haar glänzte silbern wie Mondlicht, und ihre Augen schimmerten wie zwei grüne Smaragde."
GPT-5,ChatGPT-5_65.txt,9,"Eines Tages, als der Winter noch nicht ganz gewichen war, die Äste aber schon das erste Grün zeigten, ging Marit tiefer in den Wald als sonst."
GPT-5,ChatGPT-5_65.txt,29,"Bald kam der Frühling, die Wiesen wurden grün und die Kühe auf die Weiden getrieben."
GPT-5,ChatGPT-5_7.txt,10,"Als sie öffnete, stand dort ein kleines graues Männlein mit einem grünen Hütlein und einem langen Bart, der ihm bis über die Brust reichte."
GPT-5,ChatGPT-5_8.txt,41,"Dort saß ein alter König mit einer Krone aus grünen Blättern, und er sprach: ""Du bist es, die meinen Sohn befreit hat."
GPT-5,ChatGPT-5_81.txt,25,"Ihre Augen funkelten wie zwei grüne Smaragde, und sie sprach mit einer Stimme, die zugleich wie fernes Donnern und wie sanftes Wasserrauschen klang:
""Kind, warum kommst du zu mir?"
GPT-5,ChatGPT-5_81.txt,87,"Am Ufer lag wirklich ein Schlüssel, der im Dunkeln schimmerte, und daneben lag eine Schlange, deren Schuppen grün und schwarz glänzten."
GPT-5,ChatGPT-5_83.txt,19,"Eine Wasserfrau erhob sich, und ihr Haar wallte wie grüne Wasserpflanzen."
GPT-5,ChatGPT-5_87.txt,89,"So kehrte Alena heim, verteilte die Saat unter den Leuten, und bald wuchsen die Felder wieder grün."
GPT-5,ChatGPT-5_9.txt,25,"Er war groß und stolz, trug ein grünes Wams und einen breiten Hut mit einer Feder."
GPT-5,ChatGPT-5_90.txt,3,"Eines Tages, als der Müller am Wasser stand und das Rad schmierte, tauchte aus dem Fluss ein fremder Mann auf, der hatte einen grünen Mantel, der glänzte wie Fischschuppen, und in seinen Haaren glitzerten Tropfen, als wären es Edelsteine."
GPT-5,ChatGPT-5_90.txt,23,"Da hob sich das Wasser, und der Mann im grünen Mantel trat heraus."
GPT-5,ChatGPT-5_90.txt,30,"Bald standen sie in einer Halle aus grünem Glas, und Fische schwammen wie Lichter darin umher."
GPT-5,ChatGPT-5_90.txt,106,"Doch wenn er am Ufer des Flusses saß, dann sah man manchmal eine Gestalt im grünen Mantel, die ihm zunickte, und daneben eine Frau mit Haaren so lang wie ein Schleier."
GPT-5,ChatGPT-5_91.txt,102,"Drei Tage und Nächte währte er, und als er endete, standen die Felder grün, die Bäume voller Früchte, und die Menschen jauchzten."
GPT-5,ChatGPT-5_96.txt,38,"""
Da erhob sich aus den Wellen eine Gestalt, halb Frau, halb Fisch, mit grünen Haaren und einer Krone aus Schilf."
GPT-5,ChatGPT-5_98.txt,9,"Sein Rock war grün wie Moos, und sein Hut war mit einer Krähenfeder geschmückt."
GPT-5,ChatGPT-5_98.txt,29,"Da stand der kleine Mann, mit demselben grünen Rock, doch seine Augen glänzten nun wie kalte Steine."
